unitid,icon,army,step,datetime,geopos
B10BCRHus,2,3,2,1815-06-15T02:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,3,1815-06-15T03:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,4,1815-06-15T04:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,5,1815-06-15T05:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,6,1815-06-15T06:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,7,1815-06-15T07:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,8,1815-06-15T08:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,9,1815-06-15T09:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,10,1815-06-15T10:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,11,1815-06-15T11:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,12,1815-06-15T12:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,13,1815-06-15T13:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,14,1815-06-15T14:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,15,1815-06-15T15:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,16,1815-06-15T16:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,17,1815-06-15T17:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,18,1815-06-15T18:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,19,1815-06-15T19:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,20,1815-06-15T20:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,21,1815-06-15T21:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,22,1815-06-15T22:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,23,1815-06-15T23:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,24,1815-06-16T00:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,25,1815-06-16T01:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,26,1815-06-16T02:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,27,1815-06-16T03:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,28,1815-06-16T04:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,29,1815-06-16T05:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,30,1815-06-16T06:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,31,1815-06-16T07:00:00Z,"3.9437, 50.8249"
B10BCRHus,2,3,32,1815-06-16T08:00:00Z,"3.9117, 50.7989"
B10BCRHus,2,3,33,1815-06-16T09:00:00Z,"3.8798, 50.7719"
B10BCRHus,2,3,34,1815-06-16T10:00:00Z,"3.9311, 50.7473"
B10BCRHus,2,3,35,1815-06-16T11:00:00Z,"3.9841, 50.721"
B10BCRHus,2,3,36,1815-06-16T12:00:00Z,"4.0372, 50.6936"
B10BCRHus,2,3,37,1815-06-16T13:00:00Z,"4.0372, 50.6936"
B10BCRHus,2,3,38,1815-06-16T14:00:00Z,"4.0696, 50.6669"
B10BCRHus,2,3,39,1815-06-16T15:00:00Z,"4.1021, 50.6393"
B10BCRHus,2,3,40,1815-06-16T16:00:00Z,"4.1346, 50.6117"
B10BCRHus,2,3,41,1815-06-16T17:00:00Z,"4.1751, 50.6087"
B10BCRHus,2,3,42,1815-06-16T18:00:00Z,"4.2561, 50.6029"
B10BCRHus,2,3,43,1815-06-16T19:00:00Z,"4.3236, 50.597"
B10BCRHus,2,3,44,1815-06-16T20:00:00Z,"4.3683, 50.5895"
B10BCRHus,2,3,45,1815-06-16T21:00:00Z,"4.4353, 50.5768"
B10IB,5,3,0,1815-06-15T00:00:00Z,"3.716, 51.0495"
B10IB,5,3,1,1815-06-15T01:00:00Z,"3.716, 51.0495"
B10IB,5,3,2,1815-06-15T02:00:00Z,"3.716, 51.0495"
B10IB,5,3,3,1815-06-15T03:00:00Z,"3.716, 51.0495"
B10IB,5,3,4,1815-06-15T04:00:00Z,"3.716, 51.0495"
B10IB,5,3,5,1815-06-15T05:00:00Z,"3.716, 51.0495"
B10IB,5,3,6,1815-06-15T06:00:00Z,"3.716, 51.0495"
B10IB,5,3,7,1815-06-15T07:00:00Z,"3.716, 51.0495"
B10IB,5,3,8,1815-06-15T08:00:00Z,"3.716, 51.0495"
B10IB,5,3,9,1815-06-15T09:00:00Z,"3.716, 51.0495"
B10IB,5,3,10,1815-06-15T10:00:00Z,"3.716, 51.0495"
B10IB,5,3,11,1815-06-15T11:00:00Z,"3.716, 51.0495"
B10IB,5,3,12,1815-06-15T12:00:00Z,"3.716, 51.0495"
B10IB,5,3,13,1815-06-15T13:00:00Z,"3.716, 51.0495"
B10IB,5,3,14,1815-06-15T14:00:00Z,"3.716, 51.0495"
B10IB,5,3,15,1815-06-15T15:00:00Z,"3.716, 51.0495"
B10IB,5,3,16,1815-06-15T16:00:00Z,"3.716, 51.0495"
B10IB,5,3,17,1815-06-15T17:00:00Z,"3.716, 51.0495"
B10IB,5,3,18,1815-06-15T18:00:00Z,"3.716, 51.0495"
B10IB,5,3,19,1815-06-15T19:00:00Z,"3.716, 51.0495"
B10IB,5,3,20,1815-06-15T20:00:00Z,"3.716, 51.0495"
B10IB,5,3,21,1815-06-15T21:00:00Z,"3.716, 51.0495"
B10IB,5,3,22,1815-06-15T22:00:00Z,"3.716, 51.0495"
B10IB,5,3,23,1815-06-15T23:00:00Z,"3.716, 51.0495"
B10IB,5,3,24,1815-06-16T00:00:00Z,"3.716, 51.0495"
